millis,id,ax,ay,az,gx,gy,gz,mx,my,mz
8022,2,-0.741775,1.262214,10.82154,0.022297,-0.015119,0.246026,4.837767,38.468284,0.628471
8067,2,-0.145364,0.424128,9.987045,0.054672,0.028711,-0.013897,5.247004,38.322128,0.277697
8113,2,-0.117847,0.200997,10.018749,0.268628,-0.052229,-0.0281,5.451622,37.518268,0.862321
8159,2,-2.282753,-0.153141,9.854243,-0.371101,0.212428,0.888198,4.940076,38.088275,0.950015
8205,2,-0.291924,0.324826,8.310872,0.146608,0.037263,0.031001,4.238527,38.482898,0.0
8251,2,-0.052642,0.314058,10.097712,0.149051,0.029322,-0.01405,4.618533,38.468284,0.701549
8297,2,-0.306281,0.567099,10.205987,0.015882,0.030543,0.031001,4.136218,38.819061,0.073078
8344,2,-0.294317,0.178265,10.35494,-0.285579,0.004429,-0.244193,4.223911,38.526744,0.131541
8390,2,2.571088,0.922433,10.14497,0.034208,0.037874,0.290008,3.624671,39.199062,-0.321543
8436,2,-1.894517,0.210568,9.743575,-0.02642,0.037263,0.226326,3.054662,39.359836,-0.146156
8482,2,-0.553938,1.190429,9.997213,0.00733,0.034514,-0.171042,3.843905,38.775211,0.321543
8527,2,-0.749552,0.231506,10.067204,0.029474,0.038485,-0.380569,3.975446,38.687519,0.160772
8573,2,0.458226,0.22014,10.118051,0.192728,0.019242,-1.310306,3.712365,40.324466,-0.029231
8619,2,-0.37687,-1.914258,9.993026,0.032681,0.035583,-0.148593,2.411576,41.786026,1.183864
8665,2,-0.045464,0.198006,10.032507,-0.15913,0.049022,0.136987,1.476176,42.326805,1.417714
8711,2,-0.121436,0.104088,9.8016,-0.056352,0.056047,1.276861,2.543116,40.236774,0.891552
8757,2,-0.247657,0.339781,10.125229,-0.01069,0.05284,0.134238,4.486992,38.555976,0.219234
8803,2,-0.226122,0.301496,9.965509,0.015882,0.040164,-0.020617,5.013154,38.979831,0.716165
8848,2,0.130409,0.323629,9.878769,0.163712,0.052382,-0.611476,5.217772,38.819061,1.344636
8894,2,-0.19681,0.195015,9.98166,0.053756,0.038026,-0.018937,4.516223,40.558319,0.526162
8941,2,-0.028714,0.629911,10.046865,0.105374,0.047342,-0.30192,3.668518,42.019878,1.227711
8987,2,-0.908674,0.600598,10.101301,-0.006872,0.032376,-0.030085,2.338498,42.239112,1.169249
9033,2,0.05324,0.333201,10.006785,-0.129198,0.038485,0.545961,2.557732,41.011398,0.175387
9079,2,-0.077767,0.426521,10.27478,-0.128893,0.075289,0.245873,4.399299,39.52061,0.555393
9125,2,0.007178,0.543171,10.287343,0.041692,0.054062,-0.124769,4.764689,38.950599,0.657702
9171,2,-0.546162,-0.228515,10.030115,0.245262,-0.031154,-0.752739,5.232388,39.666763,0.847705
9217,2,-0.153739,0.064606,9.75195,-0.007789,0.034056,-0.541074,2.016954,42.896812,1.023093
9263,2,0.166301,0.342772,9.970891,-0.019395,0.035125,0.167224,1.900029,43.262203,1.081555
9309,2,-1.071985,-0.126221,10.070794,-0.050549,0.044746,0.704786,2.236188,42.429115,1.096171
9355,2,-1.364507,-0.783649,10.337593,-0.073457,0.056352,0.663705,4.866998,39.389068,0.935399
